,description,id,match,name,score,type,input_value,type_id
0,2nd most common austenitic stainless steel after SAE 304.,Q28453931,False,SAE 316L stainless steel,50.0,[],a4,
1,characterization of land based on what can be built on it and what the land can be used for,Q1165944,False,land use,23.0,[],a4Base,
2,,,False,,,,a4Classif,
3,barrier across a river designed to alter its flow characteristics,Q1066997,False,weir,36.5,[],a4Core,
4,,,False,,,,a4Preproc,
5,"system used for reporting and data analysis, as a core component of business intelligence",Q193351,False,data warehouse,26.0,[],a4Reporting,
6,,,False,,,,ABarray,
7,,,False,,,,abseqR,
8,,,False,,,,ABSSeq,
9,Australian academic journal,Q96374109,False,Bulletin of Indonesian Economic Studies,12.5,[],acde,
10,playing card,Q378907,False,ace,50.0,[],ACE,
11,high resolution CGH,Q108855372,False,comparative genomic hybridisation array,37.5,[],aCGH,
12,protocol for automating interactions between certificate authorities and web servers,Q20311482,False,Automated Certificate Management Environment,50.0,[],ACME,
13,,,False,,,,ADaCGH2,
14,,,False,,,,ADAM,
15,,,False,,,,ADAMgui,
16,,,False,,,,adductomicsR,
17,,,False,,,,ADImpute,
18,,,False,,,,adSplit,
19,,,False,,,,AffiXcan,
20,,,False,,,,affxparser,
21,cricket ground,Q19460110,False,Affies Park,20.0,[],affy,
22,,,False,,,,affycomp,
23,,,False,,,,AffyCompatible,
24,,,False,,,,affyContam,
25,,,False,,,,affycoretools,
26,,,False,,,,affyILM,
27,,,False,,,,affyio,
28,,,False,,,,affylmGUI,
29,,,False,,,,affyPLM,
30,,,False,,,,AffyRNADegradation,
31,,,False,,,,AGDEX,
32,,,False,,,,aggregateBioVar,
33,,,False,,,,agilp,
34,,,False,,,,AgiMicroRna,
35,questionnaire for arthritis patients,Q106583056,False,Arthritis Impact Measurement Scales 2,44.5,[],AIMS,
36,,,False,,,,airpart,
37,,,False,,,,alevinQC,
38,"in genetics, when one allele of a gene pair is lost or amplified",Q66759451,False,allelic imbalance,48.5,[],AllelicImbalance,
39,"inscription consisting of the letters of an alphabet, listed in order",Q998818,False,abecedarium,41.0,[],AlphaBeta,
40,building located in the mountains,Q182676,False,mountain hut,37.5,[],alpine,
41,,,False,,,,AlpsNMR,
42,,,False,,,,altcdfenvs,
43,Italian almond liqueur,Q455045,False,amaretto,50.0,[],AMARETTO,
44,,,False,,,,AMOUNTAIN,
45,,,False,,,,amplican,
46,,,False,,,,Anaquin,
47,,,False,,,,ANCOMBC,
48,,,False,,,,AneuFinder,
49,French night reconnaissance monoplane,Q2818896,False,ANF Les Mureaux 120,13.5,[],ANF,
50,,,False,,,,animalcules,
51,,,False,,,,annaffy,
52,,,False,,,,annmap,
53,process of annotating a reference genome,Q19753316,False,genome annotation,35.0,[],annotate,
54,,,False,,,,AnnotationDbi,
55,,,False,,,,AnnotationFilter,
56,,,False,,,,AnnotationForge,
57,,,False,,,,AnnotationHub,
58,,,False,,,,AnnotationHubData,
